,International students by country of citizenship and sub-sector 2013-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country of citizenship ,Universities,,,,,,,,,,Te P?kenga,,,,,,,,,,W?nanga,,,,,,,,,,Public providers,,,,,,,,,,Private training establishments,,,,,,,,,,Total,,,,,,,,,,,
,Samoa,100,100,95,90,100,100,105,105,75,85,40,35,25,25,40,25,25,10,10,15,0,0,0,0,0,0,0,0,0,0,140,135,125,120,140,120,130,115,85,105,10,20,15,15,15,5,5,5,5,5,150,160,135,135,155,125,135,115,85,105,,
,Papua New Guinea,160,135,120,130,135,150,150,140,85,75,40,55,65,55,50,25,20,25,15,20,0,0,0,0,0,0,0,0,0,0,200,190,185,185,185,175,170,165,100,95,35,35,40,25,20,25,25,15,10,10,235,225,225,210,205,200,195,180,105,105,,
,Chile,90,70,60,65,50,45,60,70,70,60,20,45,50,60,65,75,75,45,35,15,0,0,0,0,0,0,0,0,0,0,110,115,110,125,115,120,135,115,100,75,80,80,85,40,40,40,35,15,20,15,190,195,195,160,155,160,170,130,125,90,,
,Nigeria,50,70,100,125,140,140,140,125,105,85,10,10,10,15,10,10,5,5,5,5,0,0,0,0,0,0,0,0,0,0,60,85,110,135,150,145,145,130,115,85,5,5,5,5,5,5,5,5,5,5,60,85,115,140,155,150,150,130,115,90,,
,Saudi Arabia,820,750,695,555,410,365,365,265,115,75,480,510,400,300,215,110,45,20,10,5,0,0,0,0,0,0,0,0,0,0,"1,280","1,245","1,085",850,615,470,410,285,125,80,220,160,155,150,75,115,145,95,35,5,"1,490","1,390","1,210",995,675,585,555,380,160,85,,
,Mexico,45,60,65,65,80,85,75,75,65,70,25,30,15,20,15,15,10,10,15,10,0,0,0,0,0,0,0,0,0,0,70,90,80,85,95,100,85,85,75,80,15,20,25,20,20,20,15,15,15,5,85,110,105,105,115,120,100,100,90,85,,
,Kuwait,125,105,95,85,70,60,50,45,55,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,105,95,85,70,60,50,45,55,75,5,5,0,0,0,0,0,0,0,0,125,110,95,85,70,60,50,45,55,75,,
,Myanmar,50,55,70,65,90,115,135,135,75,65,15,5,10,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,60,60,75,70,95,120,140,140,80,70,10,10,5,5,5,10,10,5,5,5,65,70,85,80,100,125,150,145,85,75,,
,Italy,75,90,110,95,115,105,100,80,70,65,15,15,15,15,30,20,15,15,10,5,0,0,0,0,0,0,0,0,5,0,90,105,125,115,145,125,115,90,80,70,35,20,25,30,25,20,5,5,5,5,125,120,150,140,170,145,120,95,85,70,,
,Australia,55,60,50,65,60,60,45,55,70,55,5,5,15,10,5,20,15,5,5,5,0,0,0,0,5,5,0,0,45,5,60,65,65,75,65,80,60,60,125,65,5,5,5,0,5,5,5,5,5,5,60,70,65,75,65,80,65,60,125,70,,
,Solomon Islands,70,70,65,70,75,90,80,85,60,45,15,20,30,35,30,25,15,15,5,10,0,0,0,0,0,0,0,0,0,0,85,90,90,105,100,115,90,100,65,55,5,5,5,5,5,10,5,5,5,5,90,95,90,110,110,125,100,105,70,60,,
